type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
rigging,13mmBS,,201.502,,0.047,,False,-0.65,0.025,0.0,1.3,1,,201.549,False,-0.65,19,23,,,,,,,,,N280
rigging,10mm Load Ring,,201.549,,0.155,,False,0.5,0.025,0.0,1.3,1,,201.704,False,0.5,20,24,,,,,,,,,N280
rigging,16mmBS,,201.704,,0.06,,False,-0.65,0.025,0.0,1.3,1,,201.764,False,-0.65,21,25,,,,,,,,,N280
floats,30in (UWA),7-13_Buoy61_300m,201.764,,0.96,,False,149.0,0.0,0.76,0.65,4,,202.72400000000002,False,149.0,22,26,,,,,,,,,N280
rigging,13mmBS,,202.72400000000002,,0.047,,False,-0.65,0.025,0.0,1.3,1,,202.77100000000002,False,-0.65,23,27,,,,,,,,,N280
wires,3/8 wire rope,,202.77100000000002,,62.5,B,True,-20.625,0.009,0.0,1.3,1,The RPS special,265.271,False,-22.175,24,28,,,,,,,,,N280
miscs,Zn Anode (UWA),,,206.27100000000002,0.2,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,29,3.5,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
miscs,SBE39 ext. T (UWA),3752,,211.27,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,60,8.498999999999995,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
miscs,SBE39 ext. TP (UWA),6528,,221.27,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,61,18.498999999999995,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
miscs,SBE39 ext. T (UWA),3754,,231.27,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,62,28.498999999999995,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
miscs,SBE39 sync. T (UWA),4455,,241.27,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,63,38.498999999999995,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
miscs,SBE39 ext. T (UWA),3798,,251.27,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,64,48.498999999999995,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
miscs,SBE39 int. TP (UWA),5082,,264.67,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,65,61.899,3/8 wire rope,,True,202.77100000000002,265.271,False,False,N280
rigging,13mmBS,,265.271,,0.047,,False,-0.65,0.025,0.0,1.3,1,,265.31800000000004,False,-0.65,25,30,,,,,,,,,N280
rigging,10mm Load Ring,,265.31800000000004,,0.155,,False,0.5,0.025,0.0,1.3,1,,265.473,False,0.5,26,31,,,,,,,,,N280
rigging,16mmBS,,265.473,,0.06,,False,-0.65,0.025,0.0,1.3,1,,265.533,False,-0.65,27,32,,,,,,,,,N280
floats,30in (UWA),7-13_Buoy60_300m,265.533,,0.96,,False,149.0,0.0,0.76,0.65,4,,266.493,False,149.0,28,33,,,,,,,,,N280
miscs,Sercel+frame (UWA),,266.493,,0.55,,False,-10.0,0.15,0.0,1.3,1,,267.043,False,-10.0,29,34,,,,,,,,,N280
miscs,Sercel,126991,,266.893,0.05,,False,0.0,0.0,0.0,0.0,1,,,True,,29,35,0.4,Sercel+frame (UWA),,True,266.493,267.043,True,True,N280
wires,6mm AmSteel,,267.043,,1.0,C,True,0.001,0.006,0.0,1.3,4,Rigging shed,268.043,False,0.001,30,36,,,,,,,,,N280
rigging,13mmBS,,268.043,,0.047,,False,-0.65,0.025,0.0,1.3,1,,268.09000000000003,False,-0.65,31,37,,,,,,,,,N280
floats,14in Panther Plast (UWA),,268.09000000000003,,0.3556,,False,17.6,0.0,0.3556,0.65,4,# http://trawlworks.com/floats.html,268.4456,False,17.6,32,38,,,,,,,,,N280
