type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
miscs,SBE37 SMP plastic CTP (UWA),9276,,283.02,0.56,C,False,0.0,0.1,0.0,1.3,1,,,True,,28,83,81.59499999999997,3/8 wire rope,,True,201.425,289.425,False,False,W310
rigging,13mmBS,,289.425,,0.047,,False,-0.65,0.025,0.0,1.3,1,,289.47200000000004,False,-0.65,29,36,,,,,,,,,W310
rigging,8mm Load Ring,,289.47200000000004,,0.13,,False,0.5,0.025,0.0,1.3,1,,289.60200000000003,False,0.5,30,37,,,,,,,,,W310
rigging,16mmBS,,289.60200000000003,,0.06,,False,-0.65,0.025,0.0,1.3,1,,289.66200000000003,False,-0.65,31,38,,,,,,,,,W310
cms,100 cm Signature Frame (UWA),,289.66200000000003,,1.29,,False,-7.5,0.142,0.0,1.3,1,,290.95200000000006,False,-7.5,32,39,,,,,,,,,W310
cms,Signature 1000,100244,,290.552,0.3,,False,0.0,0.0,0.0,0.0,1,# Check lengths,,True,,32,40,0.89,100 cm Signature Frame (UWA),,True,289.66200000000003,290.95200000000006,True,True,W310
rigging,16mmBS,,290.95200000000006,,0.06,,False,-0.65,0.025,0.0,1.3,1,,291.01200000000006,False,-0.65,33,41,,,,,,,,,W310
rigging,8mm Load Ring,,291.01200000000006,,0.13,,False,0.5,0.025,0.0,1.3,1,,291.14200000000005,False,0.5,34,42,,,,,,,,,W310
rigging,13mmBS,,291.14200000000005,,0.047,,False,-0.65,0.025,0.0,1.3,1,,291.1890000000001,False,-0.65,35,43,,,,,,,,,W310
wires,3/8 wire rope,,291.1890000000001,,4.5,D,True,-1.485,0.009,0.0,1.3,1,The RPS special,295.6890000000001,False,-1.7850000000000001,36,44,,,,,,,,,W310
miscs,Zn Anode (UWA),,,293.08900000000006,0.2,D,False,-0.05,0.025,0.0,1.3,5,,,True,,36,45,1.9,3/8 wire rope,,True,291.1890000000001,295.6890000000001,False,False,W310
miscs,SBE39 ext. TP (UWA),6523,,294.99,0.31,D,False,-0.25,0.11,0.0,1.3,5,,,True,,36,84,3.800999999999931,3/8 wire rope,,True,291.1890000000001,295.6890000000001,False,False,W310
rigging,13mmBS,,295.6890000000001,,0.047,,False,-0.65,0.025,0.0,1.3,1,,295.7360000000001,False,-0.65,37,46,,,,,,,,,W310
rigging,10mm Load Ring,,295.7360000000001,,0.155,,False,0.5,0.025,0.0,1.3,1,,295.8910000000001,False,0.5,38,47,,,,,,,,,W310
rigging,13mmBS,,295.8910000000001,,0.047,,False,-0.65,0.025,0.0,1.3,1,,295.9380000000001,False,-0.65,39,48,,,,,,,,,W310
floats,30in (UWA),7-13_Buoy62_300m,295.9380000000001,,0.96,,False,149.0,0.0,0.76,0.65,4,,296.8980000000001,False,149.0,40,49,,,,,,,,,W310
miscs,Sercel+frame (UWA),,296.8980000000001,,0.55,,False,-10.0,0.15,0.0,1.3,1,,297.4480000000001,False,-10.0,41,50,,,,,,,,,W310
miscs,Sercel,126989,,297.29800000000006,0.05,,False,0.0,0.0,0.0,0.0,1,,,True,,41,51,0.4,Sercel+frame (UWA),,True,296.8980000000001,297.4480000000001,True,True,W310
wires,6mm AmSteel,,297.4480000000001,,1.0,E,True,0.001,0.006,0.0,1.3,4,Rigging shed,298.4480000000001,False,0.001,42,52,,,,,,,,,W310
rigging,16mmDS,,298.4480000000001,,0.06,,False,-0.65,0.025,0.0,1.3,1,,298.5080000000001,False,-0.65,43,53,,,,,,,,,W310
floats,14in Panther Plast (UWA),,298.5080000000001,,0.3556,,False,17.6,0.0,0.3556,0.65,4,# http://trawlworks.com/floats.html,298.8636000000001,False,17.6,44,54,,,,,,,,,W310
