type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
miscs,SBE56 T (UWA),02981,,141.18,0.3,A,False,-0.05,0.025,0.0,1.3,5,,,True,,18,83,134.703,3/8 wire rope,,True,6.4769999999999985,151.477,False,False,S245
miscs,SBE39 ext. TP (UWA),6529,,146.18,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,18,84,139.703,3/8 wire rope,,True,6.4769999999999985,151.477,False,False,S245
miscs,SBE56 T (UWA),02983,,151.03,0.3,A,False,-0.05,0.025,0.0,1.3,5,,,True,,18,85,144.553,3/8 wire rope,,True,6.4769999999999985,151.477,False,False,S245
rigging,13mmBS,,151.477,,0.047,,False,-0.65,0.025,0.0,1.3,1,,151.524,False,-0.65,19,24,,,,,,,,,S245
rigging,10mm Load Ring,,151.524,,0.155,,False,0.5,0.025,0.0,1.3,1,,151.679,False,0.5,20,25,,,,,,,,,S245
rigging,16mmBS,,151.679,,0.06,,False,-0.65,0.025,0.0,1.3,1,,151.739,False,-0.65,21,26,,,,,,,,,S245
floats,30in (UWA),7-13_Buoy63_300m,151.739,,0.96,,False,149.0,0.0,0.76,0.65,4,,152.699,False,149.0,22,27,,,,,,,,,S245
rigging,13mmBS,,152.699,,0.047,,False,-0.65,0.025,0.0,1.3,1,,152.746,False,-0.65,23,28,,,,,,,,,S245
wires,3/8 wire rope,,152.746,,32.5,B,True,-10.725,0.009,0.0,1.3,1,The RPS special,185.246,False,-11.275000000000004,24,29,,,,,,,,,S245
miscs,Zn Anode (UWA),,,156.246,0.2,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,30,3.5,3/8 wire rope,,True,152.746,185.246,False,False,S245
miscs,SBE56 T (UWA),6964,,161.25,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,86,8.50399999999999,3/8 wire rope,,True,152.746,185.246,False,False,S245
miscs,SBE56 T (UWA),6965,,171.25,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,87,18.50399999999999,3/8 wire rope,,True,152.746,185.246,False,False,S245
miscs,SBE56 T (UWA),7403,,176.25,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,88,23.50399999999999,3/8 wire rope,,True,152.746,185.246,False,False,S245
miscs,SBE56 T (UWA),7274,,181.25,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,89,28.50399999999999,3/8 wire rope,,True,152.746,185.246,False,False,S245
miscs,SBE39 ext. TP (UWA),6526,,182.25,0.31,B,False,-0.25,0.11,0.0,1.3,5,,,True,,24,90,29.50399999999999,3/8 wire rope,,True,152.746,185.246,False,False,S245
miscs,SBE56 T (UWA),7308,,183.75,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,24,91,31.00399999999999,3/8 wire rope,,True,152.746,185.246,False,False,S245
rigging,13mmBS,,185.246,,0.047,,False,-0.65,0.025,0.0,1.3,1,,185.293,False,-0.65,25,31,,,,,,,,,S245
rigging,8mm Load Ring,,185.293,,0.13,,False,0.5,0.025,0.0,1.3,1,,185.423,False,0.5,26,32,,,,,,,,,S245
rigging,16mmBS,,185.423,,0.06,,False,-0.65,0.025,0.0,1.3,1,,185.483,False,-0.65,27,33,,,,,,,,,S245
cms,ADV+MP+uSquid+2B (UWA),,185.483,,1.85,,False,-43.0,0.25,0.0,0.65,1,,187.333,False,-43.0,28,34,,,,,,,,,S245
cms,Vector,6015,,186.03300000000002,0.7,,False,0.0,0.0,0.0,0.0,1,# Check lengths,,True,,28,35,0.55,ADV+MP+uSquid+2B (UWA),,True,185.483,187.333,True,True,S245
miscs,uSquid,002,,186.03300000000002,0.2,,False,0.0,0.0,0.0,0.0,1,,,True,,28,36,0.55,ADV+MP+uSquid+2B (UWA),,True,185.483,187.333,True,True,S245
miscs,FP07,T937,,186.03300000000002,0.05,,False,0.0,0.0,0.0,0.0,1,,,True,,28,37,0.55,ADV+MP+uSquid+2B (UWA),,True,185.483,187.333,True,True,S245
rigging,16mmBS,,187.333,,0.06,,False,-0.65,0.025,0.0,1.3,1,,187.393,False,-0.65,29,38,,,,,,,,,S245
rigging,8mm Load Ring,,187.393,,0.13,,False,0.5,0.025,0.0,1.3,1,,187.523,False,0.5,30,39,,,,,,,,,S245
rigging,13mmBS,,187.523,,0.047,,False,-0.65,0.025,0.0,1.3,1,,187.57,False,-0.65,31,40,,,,,,,,,S245
wires,3/8 wire rope,,187.57,,32.5,C,True,-10.725,0.009,0.0,1.3,1,The RPS special,220.07,False,-11.025000000000004,32,41,,,,,,,,,S245
miscs,SBE56 T (UWA),7319,,188.77,0.3,C,False,-0.05,0.025,0.0,1.3,5,,,True,,32,92,1.200000000000017,3/8 wire rope,,True,187.57,220.07,False,False,S245
miscs,Zn Anode (UWA),,,190.37,0.2,C,False,-0.05,0.025,0.0,1.3,5,,,True,,32,42,2.8,3/8 wire rope,,True,187.57,220.07,False,False,S245
miscs,SBE56 T (UWA),7338,,191.27,0.3,C,False,-0.05,0.025,0.0,1.3,5,,,True,,32,93,3.700000000000017,3/8 wire rope,,True,187.57,220.07,False,False,S245
miscs,SBE56 T (UWA),7426,,196.27,0.3,C,False,-0.05,0.025,0.0,1.3,5,,,True,,32,94,8.700000000000017,3/8 wire rope,,True,187.57,220.07,False,False,S245
miscs,SBE56 T (UWA),7339,,201.27,0.3,C,False,-0.05,0.025,0.0,1.3,5,,,True,,32,95,13.700000000000017,3/8 wire rope,,True,187.57,220.07,False,False,S245
miscs,SBE56 T (UWA),7340,,211.27,0.3,C,False,-0.05,0.025,0.0,1.3,5,,,True,,32,96,23.700000000000017,3/8 wire rope,,True,187.57,220.07,False,False,S245
rigging,13mmBS,,220.07,,0.047,,False,-0.65,0.025,0.0,1.3,1,,220.117,False,-0.65,33,43,,,,,,,,,S245
rigging,8mm Load Ring,,220.117,,0.13,,False,0.5,0.025,0.0,1.3,1,,220.24699999999999,False,0.5,34,44,,,,,,,,,S245
rigging,16mmBS,,220.24699999999999,,0.06,,False,-0.65,0.025,0.0,1.3,1,,220.307,False,-0.65,35,45,,,,,,,,,S245
cms,100 cm Signature Frame (UWA),,220.307,,1.29,,False,-7.5,0.142,0.0,1.3,1,,221.59699999999998,False,-7.5,36,46,,,,,,,,,S245
cms,Signature 1000,100608,,221.19699999999997,0.3,,False,0.0,0.0,0.0,0.0,1,# Check lengths,,True,,36,47,0.89,100 cm Signature Frame (UWA),,True,220.307,221.59699999999998,True,True,S245
rigging,16mmBS,,221.59699999999998,,0.06,,False,-0.65,0.025,0.0,1.3,1,,221.65699999999998,False,-0.65,37,48,,,,,,,,,S245
rigging,8mm Load Ring,,221.65699999999998,,0.13,,False,0.5,0.025,0.0,1.3,1,,221.78699999999998,False,0.5,38,49,,,,,,,,,S245
rigging,13mmBS,,221.78699999999998,,0.047,,False,-0.65,0.025,0.0,1.3,1,,221.83399999999997,False,-0.65,39,50,,,,,,,,,S245
wires,3/8 wire rope,,221.83399999999997,,4.5,D,True,-1.485,0.009,0.0,1.3,1,The RPS special,226.33399999999997,False,-1.8350000000000002,40,51,,,,,,,,,S245
miscs,SBE56 T (UWA),7341,,222.13,0.3,D,False,-0.05,0.025,0.0,1.3,5,,,True,,40,97,0.2960000000000207,3/8 wire rope,,True,221.83399999999997,226.33399999999997,False,False,S245
miscs,Zn Anode (UWA),,,223.634,0.2,D,False,-0.05,0.025,0.0,1.3,5,,,True,,40,52,1.8,3/8 wire rope,,True,221.83399999999997,226.33399999999997,False,False,S245
miscs,SBE39 ext. TP (UWA),6617,,225.88,0.31,D,False,-0.25,0.11,0.0,1.3,5,,,True,,40,98,4.046000000000021,3/8 wire rope,,True,221.83399999999997,226.33399999999997,False,False,S245
