type,name,buoyancy_kg,weight_kg,length_m,width_m,diameter_m,drag,material,comment
anchors,Anchor W400_2026_720kg,-720,720,0.9,0.8,0,1.3,1,#check length
anchors,Anchor S150_2026_720kg,-720,720,0.64,0.8,0,1.3,1,#check length
anchors,Anchor N150_2026_750kg,-750,750,0.67,0.8,0,1.3,1,#check length
anchors,Anchor 500kg,-500,500,0.44,0.8,0,1.3,1,#check length
rigging,shac-L-shac (UWA),-0.75,None,0.21,0.025,0,1.3,1,
rigging,16mmDS-L-16mmDS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,13mmBS-L-16mmDS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,16mmDS-L-13mmBS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,16mmBS,-0.65,None,0.06,0.025,0,1.3,1,
rigging,150mm Load Ring,-0.75,None,0.15,0.025,0,1.3,1,
rigging,16mmDS-Swvl-13m,-5,None,0.25,0.06,0,1.3,1,
rigging,16mmDS-Swvl-16m,-5,None,0.27,0.06,0,1.3,1,
rigging,16mmDS,-0.65,None,0.06,0.025,0,1.3,1,
rigging,16mmDS-L,-0.65,None,0.16,0.025,0,1.3,1,
rigging,13mmBS,-0.65,None,0.047,0.025,0,1.3,1,
rigging,16mmBS-L-13mmBS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,13mmBS-L-13mmBS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,16mmBS-L-16mmBS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,13mmBS-L-16mmBS,-0.75,None,0.21,0.025,0,1.3,1,
rigging,10mm Load Ring,-0.5,None,0.155,0.025,0,1.3,1,
rigging,8mm Load Ring,-0.5,None,0.13,0.025,0,1.3,1,
rigging,Small Load Ring,-0.5,None,0.09,0.025,0,1.3,1,
chains,3/8 chain SL,-2.33,4,1,0.022,0,1.3,1,Standard for above anchor
chains,1/2 chain SL,-4.12,None,1,0.03,0,1.3,1,
chains,1 chain SL,-13,None,1,0.04,0,1.3,1,
chains,1/2 chain LL,-3.1,None,1,0.03,0,1.3,1,
chains,1/2 SS link,-0.2,None,0.1,0.025,0,1.3,1,
chains,1/2 galv link,-0.2,None,0.1,0.025,0,1.3,1,
chains,1/2 shackle,-0.3,None,0.08,0.025,0,1.3,1,
chains,3/8 shackle,-0.125,None,0.04,0.025,0,1.3,1,
chains,5/8 shackle,-0.65,None,0.065,0.05,0,1.3,1,
chains,"1"" shackle",-2.2,None,0.08,0.03,0,1.3,1,
chains,1/2 swivel,-0.65,None,0.14,0.05,0,1.3,1,
chains,3/4 swivel,-1.5,None,0.14,0.04,0,1.3,1,
chains,1/2 shac+3/8shac,-0.425,None,0.12,0.025,0,1.3,1,
chains,"3/8"" buoy chain",-1.677,None,1,0.02,0,1.3,1,
chains,"1/2"" buoy chain",-3.07,None,1,0.025,0,1.3,1,
chains,"5/8"" buoy chain",-4.73,None,1,0.035,0,1.3,1,
chains,"3/4"" buoy chain",-6.87,None,1,0.04,0,1.3,1,
chains,"1"" buoy chain",-12.25,None,1,0.05,0,1.3,1,
cms,Aanderaa RCM-4,-17.3,None,0.55,0.128,0,1.3,1,
cms,Aanderaa RCM-5,-19.5,None,0.57,0.128,0,1.3,1,
cms,Aanderaa RCM-7,-18.3,None,0.55,0.128,0,1.3,1,
cms,Aanderaa RCM-8,-22.7,None,0.57,0.128,0,1.3,1,
cms,OEI Expend. CM,-3.6,None,0.66,0.128,0,1.3,1,
cms,FSI-3DACM coast,-10,None,0.38,0.13,0,1.3,1,
cms,EG&G VACM,-35,None,1.98,0.25,0,1.3,1,
cms,EG&G VMCM,-30,None,1.7,0.25,0,1.3,1,
cms,NBIS ACM-2,-13,None,1.2,0.2,0,1.3,1,
cms,InterOcn S4 CM,-1.5,None,0.8,0,0.3,0.6,1,
cms,CDMS CM,-20,None,2,0.2,0,1.2,1,
cms,SentinelADCP (UWA),-10.5,13,1,0.2,0,1.2,1,
cms,Aanderaa RDCP,-22,None,0.58,0.16,0,1.3,1,
cms,150ADCP+Frame (UWA),-60,None,1.5,0.4,0,1.3,1,
cms,hfADCP33buoyDW,120,None,1.41,0.5,0,1.3,5,
cms,150ADCP-Buoy,117,None,1.845,0.4,0,1.3,5,
cms,75LR-30inUWA,62,None,0.962,0,0.77,0.75,5,
cms,150kHz+30in,47,137.2,1.64,0,0.5,0.75,4,weight estimate
cms,75kHz+30in,21,191.9,1.64,0,0.5,0.75,4,weight estimate
cms,"RDIQM150+36""DWB",126,None,1.64,0,0.59,0.75,4,
cms,75kHz+40in (AIMS),100,284.02,1.64,0,1.016,0.75,4,weight estimate
cms,75kHz+40in+Ti300kHz (UWA),85.8,297.02,2.3,0,1.016,0.75,4,weight estimate
